name,city,state,control,enrollment,locale,hbcu,admission_rate,sat_avg,act_median,avg_cost,tuition_in_state,tuition_out_state,pct_with_loans,completion_rate,median_debt,median_earnings_10yr,poverty_rate
Alabama A & M University,Normal,AL,1,5726.0,12.0,1.0,0.6622,947.0,18.0,23751.0,10024.0,18634.0,0.5859,0.2874,31000,40628.0,14.8800001144409
University of Alabama at Birmingham,Birmingham,AL,1,12118.0,12.0,0.0,0.8842,1251.0,27.0,27826.0,8832.0,21864.0,0.4097,0.626,22300,54501.0,10.9099998474121
Amridge University,Montgomery,AL,2,226.0,12.0,0.0,,,,,,,0.7237,0.4,32189,37621.0,10.6499996185302
University of Alabama in Huntsville,Huntsville,AL,1,6650.0,12.0,0.0,0.7425,1321.0,28.0,27098.0,11770.0,24662.0,0.3391,0.6191,20705,61767.0,9.36999988555908
Alabama State University,Montgomery,AL,1,3322.0,12.0,1.0,0.9564,977.0,18.0,22028.0,11248.0,19576.0,0.7776,0.3018,31000,34502.0,16.9599990844726
The University of Alabama,Tuscaloosa,AL,1,32323.0,12.0,0.0,0.7582,1287.0,26.0,32024.0,11900.0,33200.0,0.3358,0.7369,22750,59221.0,10.0500001907348
Central Alabama Community College,Alexander City,AL,1,1134.0,32.0,0.0,,,,19815.0,5040.0,8850.0,0.1609,,9766,33506.0,13.5500001907348
Athens State University,Athens,AL,1,2407.0,31.0,0.0,,,,,,,0.4099,,18051,50273.0,10.4399995803833
Auburn University at Montgomery,Montgomery,AL,1,2693.0,12.0,0.0,0.9263,1090.0,21.0,21873.0,9436.0,20092.0,0.456,0.3568,25000,44391.0,13
Auburn University,Auburn,AL,1,25732.0,13.0,0.0,0.5047,1318.0,,34402.0,12536.0,33944.0,0.2701,0.7921,21000,65337.0,9.59000015258789
Birmingham-Southern College,Birmingham,AL,2,713.0,12.0,0.0,0.5194,1197.0,25.0,38385.0,22750.0,22750.0,0.6738,0.6418,25000,59481.0,7.90999984741211
Chattahoochee Valley Community College,Phenix City,AL,1,1044.0,21.0,0.0,,,,12032.0,5040.0,8850.0,0.248,,10500,36438.0,13.6899995803833
South University-Montgomery,Montgomery,AL,3,302.0,12.0,0.0,,,,30704.0,18238.0,18238.0,0.7016,0.1538,26123,34421.0,10.6999998092651
Enterprise State Community College,Enterprise,AL,1,1476.0,32.0,0.0,,,,14798.0,5040.0,8850.0,0.208,,7499,42572.0,13.1599998474121
