species_name,latitude,longitude,date,state,coordinate_uncertainty
"Sturnus vulgaris Linnaeus, 1758",40.21102,-74.932472,2023-01-02T15:20,Pennsylvania,15.0
"Sturnus vulgaris Linnaeus, 1758",41.248763,-70.11634,2023-01-01T11:50,Massachusetts,1001.0
"Sturnus vulgaris Linnaeus, 1758",40.80423,-73.959533,2023-01-01T14:49:40,New York,5.0
"Sturnus vulgaris Linnaeus, 1758",38.887356,-77.019355,2023-01-01T15:06,District of Columbia,8.0
"Sturnus vulgaris Linnaeus, 1758",45.643203,-73.658449,2023-01-01T12:35,Québec,180.0
"Sturnus vulgaris Linnaeus, 1758",38.888747,-77.032233,2023-01-01T15:28:05,District of Columbia,11.0
"Sturnus vulgaris Linnaeus, 1758",39.964236,-76.26576,2023-01-01T16:07:32,Pennsylvania,13.0
"Sturnus vulgaris Linnaeus, 1758",38.952719,-77.070412,2023-01-01T16:41,District of Columbia,4.0
"Sturnus vulgaris Linnaeus, 1758",42.395692,-71.138419,2023-01-01T16:08,Massachusetts,4.0
"Sturnus vulgaris Linnaeus, 1758",38.89518,-77.039392,2023-01-01T15:36:51,District of Columbia,5.0
"Sturnus vulgaris Linnaeus, 1758",45.6838,-73.694814,2023-01-02T12:27,Québec,778.0
"Sturnus vulgaris Linnaeus, 1758",39.077123,-77.107754,2023-01-01T15:02,Maryland,7.0
"Sturnus vulgaris Linnaeus, 1758",38.895162,-77.039458,2023-01-01T15:36:39,District of Columbia,5.0
"Sturnus vulgaris Linnaeus, 1758",38.889103,-77.030944,2023-01-01T15:24:35,District of Columbia,4.0
"Sturnus vulgaris Linnaeus, 1758",38.987649,-76.922087,2023-01-02T12:16,Maryland,495.0
"Sturnus vulgaris Linnaeus, 1758",41.718567,-71.377733,2023-01-03T12:45:29,Rhode Island,19805.0
"Sturnus vulgaris Linnaeus, 1758",40.810447,-73.956895,2023-01-01T13:53:37,New York,14.0
"Sturnus vulgaris Linnaeus, 1758",44.478599,-77.314251,2023-01-02T08:43,Ontario,11.0
"Sturnus vulgaris Linnaeus, 1758",41.674405,-70.09018,2023-01-03T09:34,Massachusetts,8.0
"Sturnus vulgaris Linnaeus, 1758",39.169657,-76.811559,2023-01-02T14:31,Maryland,31.0
"Sturnus vulgaris Linnaeus, 1758",40.19786,-75.097592,2023-01-05T12:59,Pennsylvania,60.0
"Sturnus vulgaris Linnaeus, 1758",45.536227,-73.826125,2023-01-08T09:56,Québec,179.0
"Sturnus vulgaris Linnaeus, 1758",38.890053,-77.017394,2023-01-07T09:36:08,District of Columbia,3.0
"Sturnus vulgaris Linnaeus, 1758",40.327759,-75.128523,2023-01-05T07:50:54,Pennsylvania,19.0
"Sturnus vulgaris Linnaeus, 1758",40.359888,-75.089164,2023-01-07T08:43:27,Pennsylvania,19.0
"Sturnus vulgaris Linnaeus, 1758",40.773621,-73.966888,2023-01-04T12:38:37,New York,64.0
"Sturnus vulgaris Linnaeus, 1758",40.6647,-73.961303,2023-01-08T13:33,New York,
"Sturnus vulgaris Linnaeus, 1758",40.668362,-73.96215,2023-01-07T14:00,New York,
"Sturnus vulgaris Linnaeus, 1758",40.238445,-75.180437,2023-01-03T15:27:27,Pennsylvania,4.0
"Sturnus vulgaris Linnaeus, 1758",42.665399,-70.817179,2023-01-02T13:27,Massachusetts,31.0
"Sturnus vulgaris Linnaeus, 1758",45.633149,-73.81115,2023-01-04T11:57,Québec,122.0
"Sturnus vulgaris Linnaeus, 1758",41.892499,-72.642124,2023-01-05T12:42,Connecticut,8.0
"Sturnus vulgaris Linnaeus, 1758",39.163438,-76.837408,2023-01-05T14:47,Maryland,15.0
"Sturnus vulgaris Linnaeus, 1758",44.476958,-77.31257,2023-01-07T08:54,Ontario,11.0
"Sturnus vulgaris Linnaeus, 1758",38.925343,-77.043668,2023-01-09T15:48,District of Columbia,4.0
"Sturnus vulgaris Linnaeus, 1758",38.987649,-76.922087,2023-01-08T10:55,Maryland,495.0
